FID_,Status,Score,Match_type,Side,X,Y,Match_addr,lon,lat,ARC_Zone,Address,City,State,Zip,Date_,Pub_Priv,Notes
,M,77,A,R,322606.0638,398120.2725,"1184 JACKSON ST, 08104",-75.10453,39.92497,8104,1184 Jackson Street,Camden,New Jersey,8104,2008-Jan,Public,Emergency - W. Hargrove
,M,77,A,L,322567.4398,399622.5824,"1187 LANSDOWNE AVE, 08104",-75.10495,39.92908,8104,1187 Lansdowne Avenue,Camden,New Jersey,8104,2008-Jan,Public,Winzinger Incorporated - Bond III
,M,77,A,L,322585.023,399623.8899,"1189 LANSDOWNE AVE, 08104",-75.1049,39.92908,8104,1189 Lansdowne Avenue,Camden,New Jersey,8104,2008-Jan,Public,Winzinger Incorporated - Bond III
,M,77,A,R,323144.7128,400186.523,"1250 MECHANIC ST, 08104",-75.10304,39.9306,8104,1250 Mechanic Street,Camden,New Jersey,8104,2008-Jan,Public,Winzinger Incorporated - Bond III
,M,77,A,R,318841.5628,401127.8048,"580 MOUNT VERNON ST, 08103",-75.11777,39.93312,8103,580 Mt. Vernon Street,Camden,New Jersey,8103,2008-Jan,Public,Winzinger Incorporated - Bond III
,M,77,A,L,317654.9076,401489.4718,"934 S 4TH ST, 08103",-75.12236,39.93385,8103,934 S 4th Street,Camden,New Jersey,8103,2008-Feb,Public,Emergergency - Winzinger
,M,77,A,L,317655.5934,401482.809,"936 S 4TH ST, 08103",-75.12236,39.9338,8103,936 S 4th Street,Camden,New Jersey,8103,2008-Feb,Public,Emergergency - Winzinger
,M,70,A,L,318022.5644,400259.2335,"435 KAIGHNS AVE, 08103",-75.12055,39.93077,8103,435 Kaighn Avenue,Camden,New Jersey,8103,2008-Feb,Public,Winzinger Incorporated - Bond III
,M,77,A,R,323013.9845,400174.5195,"1238 MECHANIC ST, 08104",-75.10343,39.93057,8104,1238 Mechanic Street,Camden,New Jersey,8104,2008-Feb,Public,Winzinger Incorporated - Bond III
,M,77,A,L,321402.1664,400849.882,"1126 MOUNT EPHRAIM AVE, 08103",-75.10908,39.932352,8103,1126 Mt. Ephraim Avenue,Camden,New Jersey,8103,2008-Feb,Public,Winzinger Incorporated - Bond III
,M,77,A,R,321618.0946,401445.1063,"1170 MOUNT VERNON ST, 08103",-75.108287,39.934034,8103,1170 Mt. Vernon Street,Camden,New Jersey,8103,2008-Feb,Public,Winzinger Incorporated - Bond III
,M,77,A,L,318148.1452,402180.8978,"810 S 5TH ST, 08103",-75.120887,39.93602,8103,810 S 5th Street,Camden,New Jersey,8103,2008-Feb,Public,Winzinger Incorporated - Bond III
,M,77,A,L,320551.7933,406571.4064,"429 N 10TH ST, 08102",-75.1122,39.94816,8102,429 N 10th Street,Camden,New Jersey,8102,2008-Mar,Public,Winzinger Incorporated - Bond III
,M,58,M,R,320303.2294,402246.2389,"832 DIVISION ST, 08103",-75.113045,39.936212,8103,832 Ramona Gonzalez,Camden,New Jersey,8104,2008-Mar,Public,Winzinger Incorporated - Bond III
,M,58,M,R,320310.227,402246.8897,"834 DIVISION ST, 08103",-75.11302,39.936214,8103,834 Ramona Gonzalez,Camden,New Jersey,8104,2008-Mar,Public,Winzinger Incorporated - Bond III
,M,77,A,L,317656.7826,405491.3492,"35 N 4TH ST, 08102",-75.12257,39.9454,8102,35-39 N 4th Street,Camden,New Jersey,8102,2008-Mar,Public,"Winzinger Incorporated - Bond III - Rear, Garages"
,M,77,A,L,317326.152,409157.4582,"909 N FRONT ST, 08102",-75.12377,39.95518,8102,909 N Front Street,Camden,New Jersey,8102,2008-Mar,Public,Winzinger Incorporated - Bond III
,M,77,A,L,317329.5954,409178.8349,"911 N FRONT ST, 08102",-75.12375,39.95523,8102,911 N Front Street,Camden,New Jersey,8102,2008-Mar,Public,Winzinger Incorporated - Bond III
,M,77,A,L,318109.0276,402814.9145,"616 S 5TH ST, 08103",-75.121,39.93737,8103,616 S 5th Street,Camden,New Jersey,8103,2008-Mar,Public,Winzinger Incorporated - Bond III
,M,77,A,R,320180.9263,402322.3502,"813 S 8TH ST, 08103",-75.11348,39.93643,8103,813 S 8th Street,Camden,New Jersey,8103,2008-Mar,Public,Winzinger Incorporated - Bond III
,M,77,A,R,327233.5406,407746.5009,"2806 PLEASANT ST, 08105",-75.08836,39.9516,8105,2806 Pleasant Street,Camden,New Jersey,8105,2008-Mar,Public,Emergency
